,title,clean_description,cleaner_description,cluster
591,Ksar of Ait-Ben-Haddou,"The ksar, a group of earthen buildings surrounded by high walls, is a traditional pre-Saharan habitat. The houses crowd together within the defensive walls, which are reinforced by corner towers. Ait-Ben-Haddou, in Ouarzazate province, is a striking example of the architecture of southern Morocco. ",ksar group earthen surrounded high wall traditional habitat house crowd together within defensive wall reinforced corner tower ouarzazate province striking architecture southern morocco,0
592,Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,"Kujataa is a subarctic farming landscape located in the southern region of Greenland. It bears witness to the cultural histories of the Norse farmer-hunters who started arriving from Iceland in the 10th century and of the Inuit hunters and Inuit farming communities that developed from the end of the 18th century. Despite their differences, the two cultures, European Norse and Inuit, created a cultural landscape based on farming, grazing and marine mammal hunting. The landscape represents the earliest introduction of farming to the Arctic, and the Norse expansion of settlement beyond Europe. ",kujataa subarctic farming landscape located southern greenland bear witness history norse started arriving iceland inuit hunter inuit farming community developed end despite difference two culture european norse inuit created landscape based farming grazing marine mammal hunting landscape represents earliest introduction farming arctic norse expansion settlement beyond europe,1
593,Kuk Early Agricultural Site,"Kuk Early Agricultural Site consists of 116 ha of swamps in the western highlands of New Guinea 1,500 metres above sea-level. Archaeological excavation has revealed the landscape to be one of wetland reclamation worked almost continuously for 7,000, and possibly for 10,000 years. It contains well-preserved archaeological remains demonstrating the technological leap which transformed plant exploitation to agriculture around 6,500 years ago. It is an excellent example of transformation of agricultural practices over time, from cultivation mounds to draining the wetlands through the digging of ditches with wooden tools. Kuk is one of the few places in the world where archaeological evidence suggests independent agricultural development and changes in agricultural practice over such a long period of time. ",kuk agricultural consists ha swamp western highland new guinea metre archaeological excavation revealed landscape one wetland reclamation worked almost continuously possibly contains archaeological remains demonstrating technological leap transformed plant exploitation agriculture around excellent transformation agricultural practice time cultivation mound draining wetland digging ditch wooden tool kuk one archaeological evidence suggests independent agricultural development change agricultural practice long time,2
594,"Kulangsu, a Historic International Settlement","Kulangsu is a tiny island located on the estuary of the Chiu-lung River, facing the city of Xiamen. With the opening of a commercial port at Xiamen in 1843, and the establishment of the island as an international settlement in 1903, this island off the southern coast of the Chinese empire suddenly became an important window for Sino-foreign exchanges. Kulangsu is an exceptional example of the cultural fusion that emerged from these exchanges, which remain legible in its urban fabric. There is a mixture of different architectural styles including Traditional Southern Fujian Style, Western Classical Revival Style and Veranda Colonial Style. The most exceptional testimony of the fusion of various stylistic influences is a new architectural movement, the Amoy Deco Style, which is a synthesis of the Modernist style of the early 20th century and Art Deco. ",kulangsu tiny island located estuary river facing xiamen opening commercial port xiamen establishment island international settlement island southern coast chinese empire suddenly became important window exchange kulangsu exceptional fusion emerged exchange remain legible urban fabric mixture different architectural style including traditional southern fujian style western classical revival style veranda colonial style exceptional testimony fusion various stylistic influence new architectural movement amoy deco style synthesis modernist style art deco,0
595,Kunta Kinteh Island and Related Sites,"James Island and Related Sites present a testimony to the main periods and facets of the encounter between Africa and Europe along the River Gambia, a continuum stretching from pre-colonial and pre-slavery times to independence. The site is particularly significant for its relation to the beginning of the slave trade and its abolition. It also documents early access to the interior of Africa. ",james island related present testimony main facet encounter africa europe along river gambia continuum stretching time independence particularly significant relation beginning slave trade abolition also document access interior africa,2
596,Kunya-Urgench,"Kunya-Urgench is situated in north-western Turkmenistan, on the left bank of the Amu Daria River. Urgench was the capital of the Khorezm region, part of the Achaemenid Empire. The old town contains a series of monuments mainly from the 11th to 16th centuries, including a mosque, the gates of a caravanserai, fortresses, mausoleums and a 60-m high minaret. The monuments testify to outstanding achievements in architecture and craftsmanship whose influence reached Iran and Afghanistan, and later the architecture of the Mogul Empire of 16th-century India. ",situated turkmenistan left bank amu daria river urgench capital khorezm part achaemenid empire town contains series monument mainly including mosque gate caravanserai fortress mausoleum high minaret monument testify achievement architecture craftsmanship whose influence reached iran afghanistan later architecture mogul empire india,2
597,Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,"Kutná Hora developed as a result of the exploitation of the silver mines. In the 14th century it became a royal city endowed with monuments that symbolized its prosperity. The Church of St Barbara, a jewel of the late Gothic period, and the Cathedral of Our Lady at Sedlec, which was restored in line with the Baroque taste of the early 18th century, were to influence the architecture of central Europe. These masterpieces today form part of a well-preserved medieval urban fabric with some particularly fine private dwellings. ",kutná hora developed result exploitation silver mine became royal endowed monument symbolized prosperity church st barbara jewel late gothic cathedral lady sedlec restored line baroque taste influence architecture central europe masterpiece today form part medieval urban fabric particularly fine private dwelling,0
598,"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra","Designed to rival Hagia Sophia in Constantinople, Kyiv's Saint-Sophia Cathedral symbolizes the 'new Constantinople', capital of the Christian principality of Kyiv, which was created in the 11th century in a region evangelized after the baptism of St Vladimir in 988. The spiritual and intellectual influence of Kyiv-Pechersk Lavra contributed to the spread of Orthodox thought and the Orthodox faith in the Russian world from the 17th to the 19th century. ",designed rival hagia sophia constantinople kyiv cathedral symbolizes constantinople capital christian principality kyiv created evangelized baptism st vladimir spiritual intellectual influence lavra contributed spread orthodox thought orthodox faith russian,0
599,L'viv – the Ensemble of the Historic Centre,"The city of L''viv, founded in the late Middle Ages, was a flourishing administrative, religious and commercial centre for several centuries. The medieval urban topography has been preserved virtually intact (in particular, there is evidence of the different ethnic communities who lived there), along with many fine Baroque and later buildings. ",l viv founded late middle flourishing administrative religious commercial centre several medieval urban topography preserved virtually intact particular evidence different ethnic community lived along many fine baroque later,0
600,L'Anse aux Meadows National Historic Site,"At the tip of the Great Northern Peninsula of the island of Newfoundland, the remains of an 11th-century Viking settlement are evidence of the first European presence in North America. The excavated remains of wood-framed peat-turf buildings are similar to those found in Norse Greenland and Iceland. ",tip great northern peninsula island newfoundland remains viking settlement evidence first european presence north america excavated remains similar found norse greenland iceland,1
601,"La Chaux-de-Fonds / Le Locle, Watchmaking Town Planning","The site of La Chaux-de-Fonds / Le Locle watchmaking town-planning consists of two towns situated close to one another in a remote environment in the Swiss Jura mountains, on land ill-suited to farming. Their planning and buildings reflect watchmakers’ need of rational organization. Planned in the early 19th century, after extensive fires, the towns owed their existence to this single industry. Their layout along an open-ended scheme of parallel strips on which residential housing and workshops are intermingled reflects the needs of the local watchmaking culture that dates to the 17th century and is still alive today. The site presents outstanding examples of mono-industrial manufacturing-towns which are well preserved and still active. The urban planning of both towns has accommodated the transition from the artisanal production of a cottage industry to the more concentrated factory production of the late 19th and 20th centuries. The town of La Chaux-de-Fonds was described by Karl Marx as a “huge factory-town” in Das Kapital where he analyzed the division of labour in the watchmaking industry of the Jura. ",la le locle watchmaking consists two town situated close one another remote environment swiss jura mountain land farming planning reflect watchmaker need rational organization planned extensive fire town owed existence single industry layout along scheme parallel strip residential housing workshop intermingled reflects need local watchmaking culture date still alive today present well preserved still active urban planning town accommodated transition artisanal production cottage industry concentrated factory production late town la described karl marx huge da kapital analyzed division labour watchmaking industry jura,0
602,La Fortaleza and San Juan National Historic Site in Puerto Rico,"Between the 16th and 20th  centuries, a series of defensive structures was built at this strategic point in the Caribbean Sea to protect the city and the Bay of San Juan. They represent a fine display of European military architecture adapted to harbour sites on the American continent. ",series defensive structure strategic point caribbean sea protect bay san juan represent fine display european military architecture adapted harbour american continent,0
603,"La Grand-Place, Brussels","La Grand-Place in Brussels is a remarkably homogeneous body of public and private buildings, dating mainly from the late 17th century. The architecture provides a vivid illustration of the level of social and cultural life of the period in this important political and commercial centre. ",la brussels remarkably homogeneous body public private dating mainly late architecture provides vivid illustration level social life important political commercial centre,0
604,La Lonja de la Seda de Valencia,"Built between 1482 and 1533, this group of buildings was originally used for trading in silk (hence its name, the Silk Exchange) and it has always been a centre for commerce. It is a masterpiece of late Gothic architecture. The grandiose Sala de Contratación (Contract or Trading Hall), in particular, illustrates the power and wealth of a major Mediterranean mercantile city in the 15th and 16th centuries. ",group originally used trading silk hence name silk exchange always centre commerce masterpiece late gothic architecture grandiose sala de contratación contract trading hall particular illustrates power wealth major mediterranean mercantile,0
605,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,"This serial site comprises six marine clusters that represent the main diversity of coral reefs and associated ecosystems in the French Pacific Ocean archipelago of New Caledonia and one of the three most extensive reef systems in the world. These Lagoons are of exceptional natural beauty. They feature an exceptional diversity of coral and fish species and a continuum of habitats from mangroves to seagrasses with the world’s most diverse concentration of reef structures. The Lagoons of New Caledonia display intact ecosystems, with healthy populations of large predators, and a great number and diversity of big fish. They provide habitat to a number of emblematic or threatened marine species such as turtles, whales or dugongs whose population here is the third largest in the world. ",serial comprises six marine cluster represent main diversity coral reef associated ecosystem french pacific ocean archipelago new caledonia one three extensive reef system lagoon exceptional natural beauty feature exceptional diversity coral fish specie continuum habitat mangrove seagrass diverse concentration reef structure lagoon new caledonia display intact ecosystem healthy population large predator great number diversity big fish provide habitat number emblematic threatened marine specie turtle whale dugong whose population third largest,1
606,Lake Baikal,"Situated in south-east Siberia, the 3.15-million-ha Lake Baikal is the oldest (25 million years) and deepest (1,700 m) lake in the world. It contains 20% of the world's total unfrozen freshwater reserve. Known as the 'Galapagos of Russia', its age and isolation have produced one of the world's richest and most unusual freshwater faunas, which is of exceptional value to evolutionary science. ",situated siberia lake baikal oldest million deepest lake contains total unfrozen freshwater reserve known russia isolation produced one richest unusual freshwater fauna exceptional value evolutionary science,1
607,Lake Malawi National Park,"Located at the southern end of the great expanse of Lake Malawi, with its deep, clear waters and mountain backdrop, the national park is home to many hundreds of fish species, nearly all endemic. Its importance for the study of evolution is comparable to that of the finches of the Galapagos Islands. ",located southern end great expanse lake malawi deep clear water mountain backdrop national park home many hundred fish specie nearly endemic importance study evolution comparable finch galapagos island,1
608,Lake Turkana National Parks,"The most saline of Africa's large lakes, Turkana is an outstanding laboratory for the study of plant and animal communities. The three National Parks serve as a stopover for migrant waterfowl and are major breeding grounds for the Nile crocodile, hippopotamus and a variety of venomous snakes. The Koobi Fora deposits, rich in mammalian, molluscan and other fossil remains, have contributed more to the understanding of paleo-environments than any other site on the continent. ",saline africa large lake turkana laboratory study plant animal community three national park serve stopover migrant waterfowl major breeding ground nile crocodile hippopotamus variety venomous snake koobi forum deposit rich mammalian molluscan fossil remains contributed understanding continent,1
609,Lakes of Ounianga,"The site includes eighteen interconnected lakes in the hyper arid Ennedi region of the Sahara desert covering an area of 62,808 ha. It constitutes an exceptional natural landscape of great beauty with striking colours and shapes. The saline, hyper saline and freshwater lakes are supplied by groundwater and are found in two groups 40 km apart. Ounianga Kebir comprises four lakes, the largest of which, Yoan, covers an area of 358 ha and is 27 m deep. Its highly saline waters only sustain algae and some microorganisms. The second group, Ounianga Serir, comprises fourteen lakes separated by sand dunes. Floating reeds cover almost half the surface of these lakes reducing evaporation. At 436 ha, Lake Teli has the largest surface area but is less than 10 m deep. With their high quality freshwater, some of these lakes are home to aquatic fauna, particularly fish. ",includes eighteen interconnected lake hyper arid ennedi sahara desert covering ha constitutes exceptional natural landscape great beauty striking colour shape saline hyper saline freshwater lake supplied groundwater found two group apart ounianga kebir comprises four lake largest yoan cover ha deep highly saline water sustain algae microorganism second group ounianga serir comprises fourteen lake separated sand dune floating reed cover almost half surface lake reducing evaporation ha lake teli largest surface less deep high quality freshwater lake home aquatic fauna particularly fish,1
610,Lamu Old Town,"Lamu Old Town is the oldest and best-preserved Swahili settlement in East Africa, retaining its traditional functions. Built in coral stone and mangrove timber, the town is characterized by the simplicity of structural forms enriched by such features as inner courtyards, verandas, and elaborately carved wooden doors. Lamu has hosted major Muslim religious festivals since the 19th century, and has become a significant centre for the study of Islamic and Swahili cultures. ",lamu town oldest swahili settlement east africa retaining traditional function coral stone mangrove timber town characterized simplicity structural form enriched feature inner courtyard veranda elaborately carved wooden door lamu hosted major muslim religious festival since become significant centre study islamic swahili culture,2
611,Land of Frankincense,"The frankincense trees of Wadi Dawkah and the remains of the caravan oasis of Shisr/Wubar and the affiliated ports of Khor Rori and Al-Baleed vividly illustrate the trade in frankincense that flourished in this region for many centuries, as one of the most important trading activities of the ancient and medieval world. ",frankincense tree wadi dawkah remains caravan oasis affiliated port khor rori vividly illustrate trade frankincense flourished many one important trading activity ancient medieval,2
612,"Landmarks of the Ancient Kingdom of Saba, Marib","The Landmarks of the Ancient Kingdom of Saba, Marib, is a serial property comprising seven archaeological sites that bear witness to the rich Kingdom of Saba and its architectural, aesthetic and technological achievements from the 1st millennium BCE to the arrival of Islam around 630 CE. They bear witness to the complex centralized administration of the Kingdom when it controlled much of the incense route across the Arabian Peninsula, playing a key role in the wider network of cultural exchange fostered by trade with the Mediterranean and East Africa. Located in a semi-arid landscape of valleys, mountains and deserts, the property encompasses the remains of large urban settlements with monumental temples, ramparts and other buildings. The irrigation system of ancient Ma'rib reflects technological prowess in hydrological engineering and agriculture on a scale unparalleled in ancient South Arabia, resulting in the creation of the largest ancient man-made oasis. ",landmark ancient kingdom saba marib serial comprising seven archaeological bear witness rich kingdom saba architectural aesthetic technological achievement millennium bce arrival islam around ce bear witness complex centralized administration kingdom controlled much incense route across arabian peninsula playing key role wider network exchange fostered trade mediterranean east africa located landscape valley mountain desert encompasses remains large urban settlement monumental temple rampart irrigation system ancient reflects technological prowess hydrological engineering agriculture scale unparalleled ancient south arabia resulting creation largest ancient oasis,2
613,Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,"The property is situated on the Elbe (Labe) River flood plain where there is sandy soil, ox bow lakes and the relic of a riparian forest. The structure and functional use of plots of land (pastures, meadows, forests, fields, park), network of paths, avenues, trees in regimented lines and arranged clusters as well as the solitary trees, the network of watercourses, ensembles of buildings in the farmsteads and the overall composition including functional relations and links between these components - all this fully serves the needs of breeding and training of the Baroque draught horses of the Kladruber breed which were used during the ceremonies at the Habsburg Imperial Court. The composition of the landscape is the evidence of the intentional artistic approach to the landscape. The property is a rare example of the synthesis of two types of cultural landscape - living and organically developing landscape where its key function dominates and the manmade landscape intentionally designed and created using the principles of the French and English landscape architecture which is an outstanding example of the specialised decorative farm - ferme ornée. The Imperial Stud Farm was founded in 1579 and its landscape has been used for this purpose since then. ",situated elbe labe river flood plain sandy soil ox bow lake relic riparian forest structure functional use plot land pasture meadow forest field park network path avenue tree regimented line arranged cluster well solitary tree network watercourse ensemble farmstead overall composition including functional relation link component fully serf need breeding training baroque draught horse kladruber breed used ceremony habsburg imperial court composition landscape evidence intentional artistic approach landscape rare synthesis two type landscape living organically developing landscape key function dominates manmade landscape intentionally designed created using principle french english landscape architecture specialised decorative farm ferme ornée imperial stud farm founded landscape used purpose since,1
614,Landscape of Grand Pré,"Situated in the southern Minas Basin of Nova Scotia, the Grand Pré marshland and archaeological sites constitute a cultural landscape bearing testimony to the development of agricultural farmland using dykes and the aboiteau wooden sluice system, started by the Acadians in the 17th century and further developed and maintained by the Planters and present-day inhabitants. Over 1,300 ha, the cultural landscape encompasses a large expanse of polder farmland and archaeological elements of the towns of Grand Pré and Hortonville, which were built by the Acadians and their successors. The landscape is an exceptional example of the adaptation of the first European settlers to the conditions of the North American Atlantic coast. The site – marked by one of the most extreme tidal ranges in the world, averaging 11.6 m – is also inscribed as a memorial to Acadian way of life and deportation, which started in 1755, known as the Grand Dérangement. ",situated southern mina basin nova scotia grand pré marshland archaeological constitute landscape bearing testimony development agricultural farmland using dyke aboiteau wooden sluice system started acadian developed maintained planter inhabitant ha landscape encompasses large expanse polder farmland archaeological element town grand pré hortonville acadian successor landscape exceptional adaptation first european settler condition north american atlantic coast marked one extreme tidal range averaging also inscribed memorial acadian way life deportation started known grand dérangement,1
615,Landscape of the Pico Island Vineyard Culture,"The 987-ha site on the volcanic island of Pico, the second largest in the Azores archipelago, consists of a remarkable pattern of spaced-out, long linear walls running inland from, and parallel to, the rocky shore. The walls were built to protect the thousands of small, contiguous, rectangular plots (currais) from wind and seawater. Evidence of this viniculture, whose origins date back to the 15th century, is manifest in the extraordinary assembly of the fields, in houses and early 19th-century manor houses, in wine-cellars, churches and ports. The extraordinarily beautiful man-made landscape of the site is the best remaining area of a once much more widespread practice. ",volcanic island pico second largest azores archipelago consists remarkable pattern long linear wall running inland parallel rocky shore wall protect thousand small contiguous rectangular plot currais wind seawater evidence viniculture whose origin date back manifest extraordinary assembly field house manor house church port extraordinarily beautiful landscape best remaining much widespread practice,0
616,Landscapes of Dauria,"Shared between Mongolia and the Russian Federation, this site is an outstanding example of the Daurian Steppe eco-region, which extends from eastern Mongolia into Russian Siberia and northeastern China. Cyclical climate changes, with distinct dry and wet periods lead to a wide diversity of species and ecosystems of global significance. The different types of steppe ecosystems represented, such as grassland and forest, as well as lakes and wetlands serve as habitats for rare species of fauna, such as the White-naped crane, Great Bustard, Relict Gull and Swan goose, as well as millions of vulnerable, endangered or threatened migratory birds. It is also a critical site on the transboundary migration path for the Mongolian gazelle. ",shared mongolia russian federation daurian steppe extends eastern mongolia russian siberia northeastern china cyclical climate change distinct dry wet lead wide diversity specie ecosystem global significance different type steppe ecosystem represented grassland forest well lake wetland serve habitat rare specie fauna crane great bustard relict gull swan goose well million vulnerable endangered threatened migratory bird also critical transboundary migration path mongolian gazelle,1
617,Laponian Area,"The Arctic Circle region of northern Sweden is the home of the Saami people. It is the largest area in the world (and one of the last) with an ancestral way of life based on the seasonal movement of livestock. Every summer, the Saami lead their huge herds of reindeer towards the mountains through a natural landscape hitherto preserved, but now threatened by the advent of motor vehicles. Historical and ongoing geological processes can be seen in the glacial moraines and changing water courses. ",arctic circle northern sweden home saami people largest one last ancestral way life based seasonal movement livestock every summer saami lead huge herd reindeer towards mountain natural landscape hitherto preserved threatened advent motor vehicle historical ongoing geological process seen glacial moraine changing water course,1
618,Las Médulas,"In the 1st century A.D. the Roman Imperial authorities began to exploit the gold deposits of this region in north-west Spain, using a technique based on hydraulic power. After two centuries of working the deposits, the Romans withdrew, leaving a devastated landscape. Since there was no subsequent industrial activity, the dramatic traces of this remarkable ancient technology are visible everywhere as sheer faces in the mountainsides and the vast areas of tailings, now used for agriculture. ",roman imperial authority began exploit gold deposit spain using technique based hydraulic power two working deposit roman withdrew leaving devastated landscape since subsequent industrial activity dramatic trace remarkable ancient technology visible everywhere sheer face mountainside vast tailing used agriculture,0
619,Late Baroque Towns of the Val di Noto (South-Eastern Sicily),"The eight towns in south-eastern Sicily: Caltagirone, Militello Val di Catania, Catania, Modica, Noto, Palazzolo, Ragusa and Scicli, were all rebuilt after 1693 on or beside towns existing at the time of the earthquake which took place in that year. They represent a considerable collective undertaking, successfully carried out at a high level of architectural and artistic achievement. Keeping within the late Baroque style of the day, they also depict distinctive innovations in town planning and urban building. ",eight town sicily caltagirone militello val di catania catania modica noto palazzolo ragusa scicli rebuilt beside town existing time earthquake took represent considerable collective undertaking successfully carried high level architectural artistic achievement keeping within late baroque style day also depict distinctive innovation town planning urban,0
620,Laurisilva of Madeira,"The Laurisilva of Madeira is an outstanding relict of a previously widespread laurel forest type. It is the largest surviving area of laurel forest and is believed to be 90% primary forest. It contains a unique suite of plants and animals, including many endemic species such as the Madeiran long-toed pigeon. ",laurisilva madeira relict previously widespread laurel forest type largest surviving laurel forest believed primary forest contains unique suite plant animal including many endemic specie madeiran pigeon,1
621,"Lavaux, Vineyard Terraces","The Lavaux Vineyard Terraces, stretching for about 30 km along the south-facing northern shores of Lake Geneva from the Chateau de Chillon to the eastern outskirts of Lausanne in the Vaud region, cover the lower slopes of the mountainside between the villages and the lake. Although there is some evidence that vines were grown in the area in Roman times, the present vine terraces can be traced back to the 11th century, when Benedictine and Cistercian monasteries controlled the area. It is an outstanding example of a centuries-long interaction between people and their environment, developed to optimize local resources so as to produce a highly valued wine that has always been important to the economy. ",lavaux vineyard terrace stretching along northern shore lake geneva chateau de chillon eastern outskirt lausanne vaud cover lower slope mountainside village lake although evidence vine grown roman time present vine terrace traced back benedictine cistercian monastery controlled interaction people environment developed optimize local resource produce highly valued wine always important economy,0
622,Le Colline del Prosecco di Conegliano e Valdobbiadene,"Located in north-eastern Italy, the property includes part of the winegrowing landscape of the Prosecco wine production area. The landscape is characterized by ‘hogback' hills, ciglioni – small plots of vines on narrow grassy terraces – forests, small villages and farmland. For centuries, this rugged terrain has been shaped and adapted by man. Since the 17th century, the use of ciglioni has created a particular chequerboard landscape consisting of rows of vines parallel and vertical to the slopes. In the 19th century, the bellussera technique of training the vines contributed to the aesthetic characteristics of the landscape. ",located italy includes part winegrowing landscape prosecco wine production landscape characterized hogback hill ciglioni small plot vine narrow grassy terrace forest small village farmland rugged terrain shaped adapted man since use ciglioni created particular chequerboard landscape consisting row vine parallel vertical slope bellussera technique training vine contributed aesthetic characteristic landscape,0
623,"Le Havre, the City Rebuilt by Auguste Perret","The city of Le Havre, on the English Channel in Normandy, was severely bombed during the Second World War. The destroyed area was rebuilt according to the plan of a team headed by Auguste Perret, from 1945 to 1964. The site forms the administrative, commercial and cultural centre of Le Havre. Le Havre is exceptional among many reconstructed cities for its unity and integrity. It combines a reflection of the earlier pattern of the town and its extant historic structures with the new ideas of town planning and construction technology. It is an outstanding post-war example of urban planning and architecture based on the unity of methodology and the use of prefabrication, the systematic utilization of a modular grid, and the innovative exploitation of the potential of concrete. ",le havre english channel normandy severely bombed second war destroyed rebuilt according plan team headed auguste perret form administrative commercial centre le havre le havre exceptional among many reconstructed unity integrity combine reflection earlier pattern town extant structure new idea town planning construction technology urban planning architecture based unity methodology use prefabrication systematic utilization modular grid innovative exploitation potential concrete,0
624,Le Morne Cultural Landscape,"Le Morne Cultural Landscape, a rugged mountain that juts into the Indian Ocean in the southwest of Mauritius was used as a shelter by runaway slaves, maroons, through the 18th and early years of the 19th centuries. Protected by the mountain's isolated, wooded and almost inaccessible cliffs, the escaped slaves formed small settlements in the caves and on the summit of Le Morne. The oral traditions associated with the maroons, have made Le Morne a symbol of the slaves' fight for freedom, their suffering, and their sacrifice, all of which have relevance to the countries from which the slaves came - the African mainland, Madagascar, India, and South-east Asia. Indeed, Mauritius, an important stopover in the eastern slave trade, also came to be known as the ""Maroon republic” because of the large number of escaped slaves who lived on Le Morne Mountain. ",le morne landscape rugged mountain jut indian ocean southwest mauritius used shelter runaway slave maroon protected mountain isolated wooded almost inaccessible cliff escaped slave formed small settlement cave summit le morne oral tradition associated maroon made le morne symbol slave fight freedom suffering sacrifice relevance country slave came african mainland madagascar india asia indeed mauritius important stopover eastern slave trade also came known maroon republic large number escaped slave lived le morne mountain,2
625,Lednice-Valtice Cultural Landscape,"Between the 17th and 20th centuries, the ruling dukes of Liechtenstein transformed their domains in southern Moravia into a striking landscape. It married Baroque architecture (mainly the work of Johann Bernhard Fischer von Erlach) and the classical and neo-Gothic style of the castles of Lednice and Valtice with countryside fashioned according to English romantic principles of landscape architecture. At 200 km2 , it is one of the largest artificial landscapes in Europe. ",ruling duke liechtenstein transformed domain southern moravia striking landscape married baroque architecture mainly work johann bernhard fischer von erlach classical style castle lednice valtice countryside fashioned according english romantic principle landscape architecture one largest artificial landscape europe,0
626,Lena Pillars Nature Park,"Lena Pillars Nature Park is marked by spectacular rock pillars that reach a height of approximately 100 m along the banks of the Lena River in the central part of the Sakha Republic (Yakutia). They were produced by the region's extreme continental climate with an annual temperature range of almost 100 degrees Celsius (from –60 °C in winter to +40 °C in summer). The pillars form rocky buttresses isolated from each other by deep and steep gullies developed by frost shattering directed along intervening joints. Penetration of water from the surface has facilitated cryogenic processes (freeze-thaw action), which have widened gullies between pillars leading to their isolation. Fluvial processes are also critical to the pillars. The site also contains a wealth of Cambrian fossil remains of numerous species, some of them unique. ",lena pillar nature park marked spectacular rock pillar reach height approximately along bank lena river central part sakha republic yakutia produced extreme continental climate annual temperature range almost degree celsius winter summer pillar form rocky buttress isolated deep steep gully developed frost shattering directed along intervening joint penetration water surface facilitated cryogenic process action widened gully pillar leading isolation fluvial process also critical pillar also contains wealth cambrian fossil remains numerous specie unique,1
627,Lençóis Maranhenses National Park,"The property is located in northeastern Brazil, on the east coast of Maranhão, in a transition zone between three Brazilian biomes: Cerrado, Caatinga and Amazon. More than half of its area consists of a white coastal dune field with temporary and permanent lagoons. Beyond its important role in biodiversity conservation, the park boasts globally significant aesthetic and geological/geomorphological values. Along an 80 km coastline, with beaches followed by plains, the prevailing winds shape the dunes into long chains of barchans, filled in the rainy season to create lagoons of various colours, shapes, sizes and depths. The property reveals its best scenery when the lagoons reach their maximum volume, creating rare beauty. The vast expanse of both stable and shifting dunes, the largest in South America, presents remarkable evidence of the evolutionary progression of coastal dunes throughout the Quaternary period. ",located northeastern brazil east coast maranhão transition zone three brazilian biome cerrado caatinga amazon half consists white coastal dune field temporary permanent lagoon beyond important role biodiversity conservation park boast globally significant aesthetic value along coastline beach followed plain prevailing wind shape dune long chain barchans filled rainy season create lagoon various colour shape size depth reveals best scenery lagoon reach maximum volume creating rare beauty vast expanse stable shifting dune largest south america present remarkable evidence evolutionary progression coastal dune throughout quaternary,1
628,León Cathedral,"Built between 1747 and the early 19th century to the design of Guatemalan architect Diego José de Porres Esquivel, the monument expresses the transition from Baroque to Neoclassical architecture and its style can be considered to be eclectic. The Cathedral is characterized by the sobriety of its interior decoration and the abundance of natural light. The vault of the Sanctuary, however, presents rich ornamentation. The Cathedral houses important works of art including a wooden Flemish altarpiece, and paintings of the 14 stations of the Way of the Cross by Nicaraguan artist Antonio Sarria (late 19th and early 20th centuries). ",design guatemalan architect diego josé de porres esquivel monument express transition baroque neoclassical architecture style considered eclectic cathedral characterized sobriety interior decoration abundance natural light vault sanctuary however present rich ornamentation cathedral house important work art including wooden flemish altarpiece painting station way cross nicaraguan artist antonio sarria late,0
629,"Levoča, Spišský Hrad and the Associated Cultural Monuments","Spišský Hrad has one of the largest ensembles of 13th and 14th century military, political and religious buildings in eastern Europe, and its Romanesque and Gothic architecture has remained remarkably intact.
The extended site features the addition of the historic town-centre of Levoča founded in the 13th and 14th centuries within fortifications. Most of the site has been preserved and it includes the 14th century church of St James with its ten alters of the 15th and 16th centuries, a remarkable collection of polychrome works in the Late Gothic style, including an 18.6 metre high alterpiece by completed around 1510 by Master Paul. ",spišský hrad one largest ensemble military political religious eastern europe romanesque gothic architecture remained remarkably intact extended feature addition levoča founded within fortification preserved includes church st james ten alters remarkable collection polychrome work late gothic style including metre high alterpiece completed around master paul,0
630,Levuka Historical Port Town,"The town and its low line of buildings set among coconut and mango trees along the beach front was the first colonial capital of Fiji, ceded to the British in 1874. It developed from the early 19th century as a centre of commercial activity by Americans and Europeans who built warehouses, stores, port facilities, residences, and religious, educational and social institutions around the villages of the South Pacific island's indigenous population. It is a rare example of a late colonial port town that was influenced in its development by the indigenous community which continued to outnumber the European settlers. Thus the town, an outstanding example of late 19th century Pacific port settlements, reflects the integration of local building traditions by a supreme naval power, leading to the emergence of a unique landscape. ",town low line set among coconut mango tree along beach front first colonial capital fiji ceded british developed centre commercial activity american european warehouse store port facility residence religious educational social institution around village south pacific island indigenous population rare late colonial port town influenced development indigenous community continued outnumber european settler thus town late pacific port settlement reflects integration local tradition supreme naval power leading emergence unique landscape,2
631,Lines and Geoglyphs of Nasca and Palpa,"Located in the arid Peruvian coastal plain, some 400 km south of Lima, the geoglyphs of Nasca and the pampas of Jumana cover about 450 km2 . These lines, which were scratched on the surface of the ground between 500 B.C. and A.D. 500, are among archaeology's greatest enigmas because of their quantity, nature, size and continuity. The geoglyphs depict living creatures, stylized plants and imaginary beings, as well as geometric figures several kilometres long. They are believed to have had ritual astronomical functions. ",located arid peruvian coastal plain south lima geoglyphs nasca pampas jumana cover line scratched surface ground among archaeology greatest enigma quantity nature size continuity geoglyphs depict living creature stylized plant imaginary well geometric figure several kilometre long believed ritual astronomical function,2
